situation,xg,time,atime,plyr_name,country,pos,jersey_no,goal_type,x,y,g,t,h,vid,key,st
penalty,0.79,11,,Neymar,Brazil,F,10,penalty,0,11.5,54,1,2,0,0,
assisted,0.69,29,,Richarlison,Brazil,F,9,regular,-2.8,8.4,54,1,3,0,0,
assisted,0.11,36,,Lucas Paquetá,Brazil,M,10,regular,-5.7,10.5,54,1,4,0,0,
set-piece,0.04,76,,Seung-Ho Paik,South Korea,M,13,regular,0.9,26.6,54,2,1,0,0,
assisted,0.07,17,,Gonçalo Ramos,Portugal,F,9,regular,17.8,8.2,56,1,1,0,0,
corner,0.3,33,,Pepe,Portugal,D,3,regular,-0.5,5.3,56,1,2,0,0,
regular,0.26,51,,Gonçalo Ramos,Portugal,F,9,regular,-7.7,4.6,56,1,3,0,0,
assisted,0.35,55,,Raphaël Guerreiro,Portugal,D,22,regular,8.7,8.4,56,1,4,0,0,
assisted,0.33,67,,Gonçalo Ramos,Portugal,F,9,regular,-7.7,7.8,56,1,5,0,0,
assisted,0.02,90,2,Rafael Leão,Portugal,F,10,regular,22.1,13,56,1,6,0,0,
corner,0.54,58,,Manuel Akanji,Switzerland,D,25,regular,8,2.4,56,2,1,0,0,
assisted,0.7,105,1,Neymar,Brazil,M,10,regular,-6.9,2.6,57,2,1,0,0,
assisted,0.12,117,,Bruno Petković,Croatia,F,9,regular,0.7,14.1,57,1,1,0,0,
assisted,0.38,35,,Nahuel Molina,Argentina,D,16,regular,-2.6,10.1,58,2,1,0,0,
penalty,0.79,73,,Lionel Messi,Argentina,F,10,penalty,0,11.5,58,2,2,0,0,
assisted,0.05,83,,Wout Weghorst,Netherlands,F,10,regular,-6.3,12.7,58,1,1,0,0,
set-piece,0.14,90,11,Wout Weghorst,Netherlands,F,10,regular,3.6,8.2,58,1,2,0,0,
assisted,0.38,42,,Youssef En-Nesyri,Morocco,F,15,regular,-3,7.4,59,1,1,0,0,
penalty,0.79,54,,Harry Kane,England,F,9,penalty,0,11.5,60,1,1,0,0,
assisted,0.03,17,,Aurélien Tchouaméni,France,M,18,regular,-3.4,26.1,60,2,1,0,0,
corner,0.17,78,,Olivier Giroud,France,F,9,regular,0.7,5.3,60,2,2,0,0,
penalty,0.79,34,,Lionel Messi,Argentina,F,10,penalty,0,11.5,61,1,1,0,0,
fast-break,0.62,39,,Julián Álvarez,Argentina,F,19,regular,2.6,5.4,61,1,2,0,0,
assisted,0.39,69,,Julián Álvarez,Argentina,F,19,regular,-6.1,6.3,61,1,3,0,0,
regular,0.12,5,,Theo Hernández,France,D,22,regular,,,62,1,1,0,0,
regular,0.69,79,,Randal Kolo Muani,France,F,12,regular,,,62,1,2,0,0,
assisted,0.05,7,,Joško Gvardiol,Croatia,D,,regular,,,63,1,1,0,0,
assisted,0.03,42,,Mislav Oršić,Croatia,M,99,regular,25.7,13.1,63,1,2,0,0,
set-piece,0.63,9,,Achraf Dari,Morocco,D,37,regular,-0.2,3.6,63,2,1,0,0,
penalty,0.79,23,,Lionel Messi,Argentina,F,10,penalty,0,11.5,64,1,1,lon3dbdsycd64zyfy9kpw,1h0tlvoja66mfdixvp6tkknjz,uv16atdk
fast-break,0.38,36,,Ángel Di María,Argentina,M,11,regular,10.8,7.4,64,1,2,hngdgiybi5vk22n7m25pe,f1sjbvta5m52ktelfmwwbxk89,fgccqnil
regular,0.86,108,,Lionel Messi,Argentina,F,10,regular,-1.8,3.1,64,1,3,5rwnk25qh3g7k4n081bad,a26a1clytp2vmcgnqlql7kriw,ul6jy7ts
penalty,0.79,80,,Kylian Mbappé,France,F,,penalty,0,11.5,64,2,1,v1sf50szcsnue76ib40sa,bq9mzkwagwl1lhn8v7zabwuiu,zr4hfwys
assisted,0.12,81,,Kylian Mbappé,France,F,7,regular,14.7,14.2,64,2,2,guz51aetrke7h4m33utb5,zpgrj38t2rqbu6k33lcnv6w3u,k5034v1p
penalty,0.79,118,,Kylian Mbappé,France,F,,penalty,0,11.5,64,2,3,3y81b21u3zg3l3bu8d035,db6hgetcmd4ht15a9clan2vcx,i2fuknp9
